Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,172,1
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,112,2
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,104,3
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,99,4
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,99,4
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,79,5
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,59,6
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,57,7
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,56,8
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,56,8
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Grace,54,9
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Angela,54,9
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Ava,53,10
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Joanna,49,11
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Amelia,44,12
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Evelyn,42,13
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Ella,42,13
